multiply                                              mul ${1:rd}, ${2:rs}, ${3:rt}                         rd=((rs * rt)&lt;&lt;32)&gt;&gt;32;
not_                                                  not ${1:rt},${2:rs}                                   nor rt, rs, zero
load_address                                          la ${1:rd},${2:LabelAddr}                             lui $rd,LabelAddr[31:16]; ori $rd,$rd,LabelAddr[15:0]
load_immediate                                        li ${1:rd},${2:IMMED}                                 lui $rd,IMMED[31:16]; ori $rd,$rd,IMMED[15:0]
branch_unconditionally                                b ${1:Label}                                          beq $zero,$zero,Label
branch_and_link                                       bal ${1:Label}                                        bgezal $zero,Label
branch_if_greater_than                                bgt ${1:rs},${2:rt},${3:Label}                        slt $at,$rt,$rs; bne $at,$zero,Label
branch_if_less_than                                   blt ${1:rs},${2:rt},${3:Label}                        slt $at,$rs,$rt; bne $at,$zero,Label
branch_if_greater_than_or_equal                       bge ${1:rs},${2:rt},${3:Label}                        slt $at,$rs,$rt; beq $at,$zero,Label
branch_if_less_than_or_equal                          ble ${1:rs},${2:rt},${3:Label}                        slt $at,$rt,$rs; beq $at,$zero,Label
branch_if_greater_than_unsigned                       bgtu ${1:rs},${2:rt},${3:Label}                       sltu $at,$rt,$rs; bne $at,$zero,Label
branch_if_greater_than_zero                           bgtz ${1:rs},${2:Label}                               slt $at,$zero,$rs; bne $at,$zero,Label
branch_if_equal_to_zero                               beqz ${1:rs},${2:Label}                               beq $rs,$zero,Label
